,category
0,Combined Print and E-Book Fiction
1,Combined Print and E-Book Nonfiction
2,Hardcover Fiction
3,Hardcover Nonfiction
4,Trade Fiction Paperback
5,Mass Market Paperback
6,Paperback Nonfiction
7,E-Book Fiction
8,E-Book Nonfiction
9,Hardcover Advice
10,Paperback Advice
11,Advice How-To and Miscellaneous
12,Hardcover Graphic Books
13,Paperback Graphic Books
14,Manga
15,Combined Print Fiction
16,Combined Print Nonfiction
17,Chapter Books
18,Childrens Middle Grade
19,Childrens Middle Grade E-Book
20,Childrens Middle Grade Hardcover
21,Childrens Middle Grade Paperback
22,Paperback Books
23,Picture Books
24,Series Books
25,Young Adult
26,Young Adult E-Book
27,Young Adult Hardcover
28,Young Adult Paperback
29,Animals
30,Audio Fiction
31,Audio Nonfiction
32,Business Books
33,Celebrities
34,Crime and Punishment
35,Culture
36,Education
37,Espionage
38,Expeditions Disasters and Adventures
39,Fashion Manners and Customs
40,Food and Fitness
41,Games and Activities
42,Graphic Books and Manga
43,Hardcover Business Books
44,Health
45,Humor
46,Indigenous Americans
47,Relationships
48,Mass Market Monthly
49,Middle Grade Paperback Monthly
50,Paperback Business Books
51,Family
52,Hardcover Political Books
53,Race and Civil Rights
54,Religion Spirituality and Faith
55,Science
56,Sports
57,Travel
58,Young Adult Paperback Monthly
