,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,144,0735211299,Avery,,ATOMIC HABITS,James Clear
1,2,2,143,0062976583,HarperOne,,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy
2,3,4,266,0062457713,Harper,,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson
3,4,3,39,0399592555,Random House,,ATLAS OF THE HEART,Brené Brown
4,5,6,269,0762447699,Running Press,,YOU ARE A BADASS,Jen Sincero
5,6,5,372,080241270X,Northfield,,THE FIVE LOVE LANGUAGES,Gary Chapman
6,7,0,1,1668001098,Gallery,,WE NEVER DIE,Matt Fraser
7,8,0,1,0593328914,Avery,,BE A PLANT-BASED WOMAN WARRIOR,Jane Esselstyn and Ann Crile Esselstyn
8,9,9,71,0399592520,Random House,,DARE TO LEAD,Brené Brown
9,10,8,22,0593232550,Clarkson Potter,,HALF BAKED HARVEST EVERY DAY,Tieghan Gerard
