,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,,Random House Audio,"The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years. Read by the author. 6 hours, 42 minutes unabridged.",GREENLIGHTS,Matthew McConaughey
1,2,0,0,,HarperAudio,"The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success. Read by the author. 9 hours, 15 minutes unabridged.",FINDING ME,Viola Davis
2,3,0,0,,Simon & Schuster Audio,"The Green Beret and former mixed martial arts fighter describes how his failures shaped who he is today. Read by Tim Kennedy. 15 hours, 52 minutes unabridged.",SCARS AND STRIPES,Tim Kennedy and Nick Palmisciano
3,4,0,0,,Penguin Audio,"How trauma affects the body and mind, and innovative treatments for recovery. Read by Sean Pratt. 16 hours, 17 minutes unabridged. ",THE BODY KEEPS THE SCORE,Bessel van der Kolk
4,5,0,0,1549160559,Hachette Audio,"The stand-up comedian and podcaster shares stories of parenting and strange encounters. Read by the author. 6 hours, 4 minutes unabridged.","I'D LIKE TO PLAY ALONE, PLEASE",Tom Segura
5,6,0,0,,HarperAudio,"A look at potential changes in globalization. Read by the author. 16 hours, 44 minutes unabridged.",THE END OF THE WORLD IS JUST THE BEGINNING,Peter Zeihan
6,7,0,0,1668604590,Hachette Audio,"The humorist portrays personal and public upheavals of his life in its seventh decade and the world in the time of a pandemic. Read by the author. 7 hours, 30 minutes unabridged.",HAPPY-GO-LUCKY,David Sedaris
7,8,0,0,1427264309,Macmillan Audio,"Applying the principles of Navy SEALs leadership training to any organization. Read by the authors. 8 hours, 15 minutes unabridged.",EXTREME OWNERSHIP,Jocko Willink and Leif Babin
8,9,0,0,,Macmillan Audio,"An approach to dealing with trauma that shifts an essential question used to investigate it. Read by the authors. 8 hours, 27 minutes unabridged.",WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey
9,10,0,0,0062796232,HarperAudio,"How Homo sapiens became Earth’s dominant species. Read by Derek Perkins. 15 hours, 17 minutes unabridged.",SAPIENS,Yuval Noah Harari
10,11,0,0,0593587111,Penguin Audio,"A staff writer at The Atlantic details how some Republicans shifted their loyalty to Donald Trump. Read by Joe Barrett. 8 hours, 57 minutes unabridged.",THANK YOU FOR YOUR SERVITUDE,Mark Leibovich
11,12,0,0,,Audible Studios,"A memoir about growing up in South Africa by the host of “The Daily Show.” Read by the author. 8 hours, 50 minutes unabridged.",BORN A CRIME,Trevor Noah
12,13,0,0,,Macmillan Audio,"The author of “The Plot to Hack America” examines radicalization and terror threats within the United States. Read by Ari Fliakos. 10 hours, 30 minutes unabridged.",THEY WANT TO KILL AMERICANS,Malcolm Nance
13,14,0,0,0525627162,Penguin Audio,"A personal account of how psychedelics might help the mentally ill and people dealing with everyday challenges. Read by the author. 13 hours, 34 minutes unabridged.",HOW TO CHANGE YOUR MIND,Michael Pollan
14,15,0,0,,HarperAudio,"The onetime Republican political operative assesses why some of his former peers and colleagues fell under the sway of Donald Trump. Read by Josh Bloomberg. 8 hours, 14 minutes unabridged.",WHY WE DID IT,Tim Miller
