,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0735211299,Avery,,ATOMIC HABITS,James Clear
1,2,0,0,0399592520,Random House,,DARE TO LEAD,Brené Brown
2,3,0,0,0316397539,"Little, Brown",,JAMES PATTERSON,James Patterson
3,4,0,0,006323047X,Harper Business,,THE END OF THE WORLD IS JUST THE BEGINNING,Peter Zeihan
4,5,0,0,0316017930,"Back Bay/Little, Brown",,OUTLIERS,Malcolm Gladwell
5,6,0,0,1982190914,Atria,,SCARS AND STRIPES,Tim Kennedy and Nick Palmisciano
6,7,0,0,0063221942,Dey Street,,"HOW ARE YOU, REALLY?",Jenna Kutcher
7,8,0,0,0374533555,"Farrar, Straus & Giroux",,"THINKING, FAST AND SLOW",Daniel Kahneman
8,9,0,0,1250183863,St. Martin's,,EXTREME OWNERSHIP,Jocko Willink and Leif Babin
9,10,0,0,1982160276,Avid Reader,,PRINCIPLES FOR DEALING WITH THE CHANGING WORLD ORDER,Ray Dalio
