,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0718079183,W Publishing/Thomas Nelson,The lives of the couple who star in the HGTV show “Fixer Upper.”,THE MAGNOLIA STORY,Chip Gaines and Joanna Gaines with Mark Dagostino
1,2,0,0,1501141511,Simon & Schuster,The singer-songwriter’s autobiography.,BORN TO RUN,Bruce Springsteen
2,3,0,0,0062494600,Harper/HarperCollins,The anchor of Fox News’s “The Kelly File” discusses the personal and professional challenges she has faced.,SETTLE FOR MORE,Megyn Kelly
3,4,0,0,0425285170,Random House,Essays by the star of “Gilmore Girls” (both the original and the mini-series) and “Parenthood.”,TALKING AS FAST AS I CAN,Lauren Graham
4,5,0,0,0399588175,Spiegel & Grau,"A memoir about growing up in South Africa by the comedian, now the host of “The Daily Show,” whose parents were in an illegal (under apartheid) interracial relationship.",BORN A CRIME,Trevor Noah
5,6,0,0,1455565385,Grand Central,"An oral history of the show, based on extensive interviews with Jon Stewart and others.",THE DAILY SHOW (THE BOOK),Chris Smith
6,7,0,0,1501139886,Gallery Books,"Humorous personal essays by the comedian, actor and writer.",THE GIRL WITH THE LOWER BACK TATTOO,Amy Schumer
7,8,0,0,1501117203,Touchstone,Autobiographical essays by the young actress.,SCRAPPY LITTLE NOBODY,Anna Kendrick
8,9,0,0,0399173595,Blue Rider Press,"Recollections of life on the set of the first Star Wars movie by the actress and writer, who died in December. Originally published in 2008.",THE PRINCESS DIARIST,Carrie Fisher
9,10,0,0,1250116481,Holt,"The further adventures of the TV producer (""Watch What Happens: Live"" and the ""Real Housewives"" franchise) and personality.",SUPERFICIAL,Andy Cohen
