,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,359,0375869026,Knopf,A boy with a facial deformity starts school.,WONDER,R.J. Palacio
1,2,2,189,0545880831,Scholastic,Three children in three different conflicts look for safe haven.,REFUGEE,Alan Gratz
2,3,3,17,1665912731,Simon & Schuster,Skandar dreams of becoming a unicorn rider and competing in the Chaos Cup.,SKANDAR AND THE UNICORN THIEF,A.F. Steadman
3,4,6,49,1338245759,Scholastic,"Parallel storylines of Brandon and Reshmina take place on Sept. 11th, in 2001 and 2019.",GROUND ZERO,Alan Gratz
4,5,0,122,1492670022,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids
5,6,4,44,1368077927,Disney-Hyperion,Ana Dakkar faces the weekend trials at the Harding-Pencroft Academy.,DAUGHTER OF THE DEEP,Rick Riordan
6,7,9,33,1534418164,Atheneum/Caitlyn Dlouhy,"As a coping mechanism for his “frets,” a young boy creates a superhero alter ego.","STUNTBOY, IN THE MEANTIME",Jason Reynolds.
7,8,7,34,0062930346,Balzer + Bray,A boy and his pet fox reunite after a year of separation.,"PAX, JOURNEY HOME",Sara Pennypacker.
8,9,8,41,1665902167,Atheneum,"In this sequel to “Out of My Mind,” Melody goes to summer camp.",OUT OF MY HEART,Sharon M. Draper
9,10,5,25,1646140893,Levine Querido,Petra is one of the last people who have memories of the planet Earth.,THE LAST CUENTISTA,Donna Barba Higuera
