,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,6,0062662376,HarperCollins,,HIDDEN FIGURES,Margot Lee Shetterly
1,2,2,75,0547577311,Houghton Mifflin Harcourt,,A LONG WALK TO WATER,Linda Sue Park
2,3,3,75,0061992275,HarperCollins,,THE ONE AND ONLY IVAN,Katherine Applegate.
3,4,5,23,1481409204,Aladdin,,STORY THIEVES,James Riley
4,5,6,26,1484712374,Disney-Hyperion,,PERCY JACKSON'S GREEK GODS,Rick Riordan
5,6,8,27,1484711874,Disney-Hyperion,,SERAFINA AND THE BLACK CLOAK,Robert Beatty
6,7,7,71,0307931471,Yearling,,ESCAPE FROM MR. LEMONCELLO’S LIBRARY,Chris Grabenstein
7,8,9,22,0147510481,Puffin,,THE WAR THAT SAVED MY LIFE,Kimberly Brubaker Bradley
8,9,10,10,0147515823,Puffin,,BROWN GIRL DREAMING,Jacqueline Woodson
9,10,4,72,1416971718,Atheneum,,OUT OF MY MIND,Sharon M. Draper
