,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,1455521213,Grand Central,"The government hit man Will Robie uncovers a serious threat as he tries to stop Jessica Reel, a fellow assassin who has gone rogue.",THE HIT,David Baldacci
1,2,0,0,0399159894,Putnam,"A former criminal attorney who has been acquitted of his wife’s murder retreats to his family estate on a rocky New England cliff, where he is comforted by the house’s caretaker amid continuing danger.",WHISKEY BEACH,Nora Roberts
2,3,0,0,0312577214,St. Martin's,"A brash but lonely woman must deal with her personal demons before she can keep her promise to help the family of her deceased friend; a sequel to ""Firefly Lane.""",FLY AWAY,Kristin Hannah
3,4,0,0,0385535309,Doubleday,"A centuries-spanning historical novel that weaves together the fates of a handful of families who come of age, seek their fortunes and fall in and out of love in the City of Light.",PARIS,Edward Rutherfurd
4,5,0,0,0316176486,Reagan Arthur Books,"Atkinson’s heroine, born in 1910, keeps dying and dying again, as she experiences the alternate courses her destiny might have taken.",LIFE AFTER LIFE,Kate Atkinson
5,6,0,0,0061928178,Harper Perennial,"Ruins both emotional and architectural, in Italy, Hollywood and elsewhere, figure in this sweeping novel.",BEAUTIFUL RUINS,Jess Walter
6,7,0,0,0812993845,Dial,"When her boyfriend fails to propose yet again, Lottie impulsively decides to marry her old flame. Convinced Lottie is making a terrible mistake, her sister, Fliss, will do anything to stop her.",WEDDING NIGHT,Sophie Kinsella
7,8,0,0,1451668945,Simon & Schuster,An explosion at her family’s antique furniture museum leaves a glamorous C.P.A. in a coma.,DADDY'S GONE A HUNTING,Mary Higgins Clark
8,9,0,0,030758836X,Crown,"A woman disappears from her Missouri home on her fifth anniversary; is her bitter, oddly evasive husband a killer?",GONE GIRL,Gillian Flynn
9,10,0,0,0446547638,Grand Central,"Twenty-five years after their high school romance ended, a man and woman who have gone their separate ways return to their North Carolina town for the funeral of a friend.",THE BEST OF ME,Nicholas Sparks
10,11,0,0,0553573403,Bantam,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering.",A GAME OF THRONES,George RR Martin
11,12,0,0,0307346617,Broadway,"An ""oral history"" of an imagined Zombie War that nearly destroys civilization.",WORLD WAR Z,Max Brooks
12,13,0,0,0345803485,Vintage,An inexperienced college student falls in love with a tortured man who has particular sexual tastes; the first book in a trilogy.,FIFTY SHADES OF GREY,E L James
13,14,0,0,1455526959,Grand Central,"In a case that spans 20 years, the Los Angeles detective Harry Bosch links a recent crime to the killing of a photographer amid the 1992 race riots. ",THE BLACK BOX,Michael Connelly
14,15,0,0,1400067685,Random House,"Two brothers, both lawyers, return to their Maine hometown to defend their troubled teenage nephew.",THE BURGESS BOYS,Elizabeth Strout
15,16,0,0,0399159096,Putnam,"Joshua Gage, who carries out investigations for the crown, and Beatrice Lockwood are embroiled in a case of blackmail, mesmerism and madness; by Jayne Ann Krentz, writing pseudonymously.",THE MYSTERY WOMAN,Amanda Quick
16,17,0,0,1250010071,St. Martin's,An Army doctor returns home from Afghanistan to find that the life he left behind has fallen apart.,DON'T GO,Lisa Scottoline
17,18,0,0,0345541332,Dell,"In the summer of 1973, a fateful baseball play unites Joe Castle, a dazzling rookie; Warren Tracey, a hard-partying and hard-throwing pitcher, and Tracey’s young son, Paul.",CALICO JOE,John Grisham
18,19,0,0,1455523151,Grand Central,A special agent with the United States Army investigates his aunt’s mysterious death in a picture-perfect town on Florida’s Gulf Coast.,THE FORGOTTEN,David Baldacci
19,20,0,0,1594488398,Riverhead,"Six friends meet in the 1970s at a summer arts camp, and pursue success, and one another, over succeeding decades.",THE INTERESTINGS,Meg Wolitzer
