,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0316154695,"Little, Brown",A humorist returns with more wry takes on contemporary life.,LET'S EXPLORE DIABETES WITH OWLS,David Sedaris
1,2,0,0,0385349947,Knopf,The chief operating officer of Facebook urges women to pursue their careers without ambivalence.,LEAN IN,Sheryl Sandberg with Nell Scovell
2,3,0,0,1451695195,Simon & Schuster,A neurosurgeon recounts his near death experience during a coma from bacterial meningitis.,PROOF OF HEAVEN,Eben Alexander
3,4,0,0,1594204217,Penguin Press,"A celebration of braising, baking, grilling and fermenting.",COOKED,Michael Pollan
4,5,0,0,0307476073,Vintage,"An account of the life-changing 1,100-mile solo hike along the Pacific Crest Trail in 1995. Originally published in 2012 and a 2014 movie.",WILD,Cheryl Strayed
5,6,0,0,1250024978,St. Martin's,"A former member of the Navy SEALs describes his subsequent career finding, training and supplying working dogs to the U.S. military.",TRIDENT K9 WARRIORS,Michael Ritland with Gary Brozek
6,7,0,0,1476711879,Howard,What happened to a teacher from Oklahoma during nine minutes of unconsciousness.,WAKING UP IN HEAVEN,Crystal McVea
7,8,0,0,0310330912,Zondervan,A doctor explores what makes America great.,AMERICA THE BEAUTIFUL,Ben C Carson and Candy Carson
8,9,0,0,156858671X,Nation,"America’s new covert wars, fought by secret commandos.",DIRTY WARS,Jeremy Scahill
9,10,0,0,1476706417,Simon & Schuster,"The comedian recalls her oldest daughter, who died in 2002. ",CARRIE AND ME,Carol Burnett
10,11,0,0,0062238868,Harper,"A member of the Navy Seals who has the most career sniper kills in United States military history discusses his childhood, his marriage and his battlefield experiences during the Iraq war.",AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice
11,12,0,0,1401943411,Hay House,The founder of Re/Max recounts his ordeal with a staph infection that left him paralyzed.,MY NEXT STEP,Dave Liniger with Laura Morton
12,13,0,0,0307352153,Broadway,Introverts — approximately one-third of the population — are undervalued in American society.,QUIET,Susan Cain
13,14,0,0,0307957136,Knopf,"The promise and peril of the continuing information and technology revolution for people, nations and business.",THE NEW DIGITAL AGE,Eric Schmidt and Jared Cohen
14,15,0,0,1594204802,Penguin Press,The Times’s national security correspondent describes how the lines between the C.I.A. and the American military have been blurred.,WAY OF THE KNIFE,Mark Mazzetti
15,16,0,0,0393081575,Norton,"A science writer’s pilgrimage down the digestive tract; by the author of “Stiff,” “Spook,” “Bonk” and “Packing for Mars.”",GULP,Mary Roach
16,17,0,0,147670354X,Howard,Behind the scenes at the A&E show “Duck Dynasty.”,DUCK COMMANDERS,Willie and Korie Robertson with Mark Schlabach
17,18,0,0,0374533555,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,"THINKING, FAST AND SLOW",Daniel Kahneman
18,19,0,0,1451674775,Gallery,The experience of a mother whose three daughters were killed when her sister-in-law drove the wrong way down the Taconic Parkway.,I'LL SEE YOU AGAIN,Jackie Hance with Janice Kaplan
19,20,0,0,1400064163,Random House,"An Olympic runner’s story of survival as a prisoner of the Japanese during World War II. Read by Edward Herrmann. 13 hours, 56 minutes unabridged.",UNBROKEN,Laura Hillenbrand
