,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,64,1501110365,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,IT ENDS WITH US,Colleen Hoover
1,2,2,39,1538724731,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,VERITY,Colleen Hoover
2,3,0,1,0316413232,Mulholland,"The sixth book in the Cormoran Strike series. When a cartoonist is murdered, Cormoran and Robin go after a mysterious online figure known as Anomie.",THE INK BLACK HEART,Robert Galbraith
3,4,3,176,0735219109,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",WHERE THE CRAWDADS SING,Delia Owens
4,5,0,1,0593158687,Ballantine,A tennis player comes out of retirement and trains with her father to defend her record.,CARRIE SOTO IS BACK,Taylor Jenkins Reid
5,6,6,34,1476753180,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",UGLY LOVE,Colleen Hoover
6,7,7,24,1501110349,Atria,Is Ben using his relationship with Fallon as fodder for his novel?,NOVEMBER 9,Colleen Hoover
7,8,8,62,1501161938,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid
8,9,4,2,0593336844,Berkley,Heartbeats quicken and neurons fire when a pair of antagonistic scientists work together on a project.,LOVE ON THE BRAIN,Ali Hazelwood
9,10,0,1,1250019869,St. Martin's,"When she takes over her deceased mother’s apartment, Zoey has strange encounters with her new neighbors.",OTHER BIRDS,Sarah Addison Allen
10,11,11,10,1524796298,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",FIRE AND BLOOD,George R.R. Martin
11,12,14,8,1538719878,Grand Central,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",THE 6:20 MAN,David Baldacci
12,13,0,17,0593157834,Vintage,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.,THE JUDGE'S LIST,John Grisham
13,14,13,3,0593496477,Bantam,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester
14,15,0,10,1501193325,Atria,Quinn and Graham’s marriage depends on past promises.,ALL YOUR PERFECTS,Colleen Hoover
