,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,3,1982185821,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,I'M GLAD MY MOM DIED,Jennette McCurdy
1,2,0,1,0063221489,Broadside,An account of time spent in the Trump White House by the former president’s son-in-law and senior adviser.,BREAKING HISTORY,Jared Kushner
2,3,2,105,0143127748,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",THE BODY KEEPS THE SCORE,Bessel van der Kolk
3,4,4,2,0759554226,"Little, Brown",A biography of the late Princess of Wales and her sons.,"DIANA, WILLIAM, AND HARRY",James Patterson and Chris Mooney
4,5,3,3,1476748411,Simon & Schuster,"The life story of the Olympic athlete, All-American football player and Major League Baseball player Jim Thorpe.",PATH LIT BY LIGHTNING,David Maraniss
5,6,5,48,0525657746,Knopf,"The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",CRYING IN H MART,Michelle Zauner
6,7,10,51,1571313567,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,BRAIDING SWEETGRASS,Robin Wall Kimmerer
7,8,11,86,0399588191,One World,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,BORN A CRIME,Trevor Noah
8,9,0,42,081298496X,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
9,10,12,146,0399590528,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",EDUCATED,Tara Westover
10,11,14,27,0060959479,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,ALL ABOUT LOVE,bell hooks
11,12,13,18,0063037327,HarperOne,The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.,FINDING ME,Viola Davis
12,13,0,69,0593139135,Crown,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.,GREENLIGHTS,Matthew McConaughey
13,14,0,2,1501106376,Avid Reader,The author of “The Oregon Trail” recounts his adventures on a wooden flatboat and challenges the myths of American expansion.,LIFE ON THE MISSISSIPPI,Rinker Buck
14,15,0,26,1250223180,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey
