,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0375725601,Vintage,A story of how an architect and a serial killer were linked by the Chicago World's Fair of 1893. Originally published in 2003.,THE DEVIL IN THE WHITE CITY,Erik Larson
1,2,0,0,081298496X,Spiegel & Grau,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death. Originally published in 2014.,JUST MERCY,Bryan Stevenson
2,3,0,0,0316274054,"Little, Brown",The story of a South Florida financier convicted of soliciting sex from underage girls.,FILTHY RICH,James Patterson and John Connolly with Tim Malloy
3,4,0,0,150114524X,Simon & Schuster,A collection of articles and speeches by the Supreme Court justice.,MY OWN WORDS,Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams
4,5,0,0,0062415832,Dey Street/Morrow,A celebration of the life and career of the Supreme Court justice Ruth Bader Ginsburg.,NOTORIOUS RBG,Irin Carmon and Shana Knizhnik
5,6,0,0,0805097686,Holt,"The hunt for America's first serial killer in Austin, Tex., in 1885.",THE MIDNIGHT ASSASSIN,Skip Hollandsworth
6,7,0,0,1250087112,St. Martin's,"A friend of Adnan Syed, whose murder case was the focus of the popular podcast “Serial,” maintains his innocence.",ADNAN'S STORY,Rabia Chaudry
7,8,0,0,0385523394,Spiegel & Grau,A memoir about a year in a women’s prison; the basis for the Netflix series. Originally published in 2010.,ORANGE IS THE NEW BLACK,Piper Kerman
8,9,0,0,1476755744,Simon & Schuster,A successful American hedge fund manager in Russia was expelled by kleptocrats who then seized his property.,RED NOTICE,Bill Browder
9,10,0,0,0062238477,Harper/HarperCollins,The contrasting careers of the Supreme Court justices Sandra Day O'Connor and Ruth Bader Ginsburg.,SISTERS IN LAW,Linda Hirshman
