,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,None,Lauren Blakely,A man shares a cramped apartment with his friend's fetching sister.,FULL PACKAGE,Lauren Blakely
1,2,0,2,0440337976,Dial,"After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation. Originally published in 2008.",THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows
2,3,4,12,0385541201,Doubleday,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.,THE WHISTLER,John Grisham
3,4,0,1,None,Dutton,"Pike Logan, a member of a secret counterterrorist unit called the Taskforce, investigates a Saudi-backed Moroccan terrorist cell.",RING OF FIRE,Brad Taylor
4,5,7,9,034554496X,Ballantine,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer.",SMALL GREAT THINGS,Jodi Picoult
5,6,0,1,None,Stoker Aces Production,A fireman must keep his overprotective nature in check while pursuing an epileptic prey to her suspiciously obsessive boss.,SHELTER FOR ADELINE,Susan Stoker
6,7,9,3,None,Atria,"An angry old curmudgeon gets new neighbors, and things are about to change for all of them.",A MAN CALLED OVE,Fredrik Backman
7,8,2,2,0425285359,Delacorte,The beautiful mistress of a Russian oligarch falls in love with an artist and yearns for freedom.,THE MISTRESS,Danielle Steel
8,9,0,1,,Berkley,Spirits invade the life of a Charleston realtor.,THE GUESTS ON SOUTH BATTERY,Karen White
9,10,0,8,1455586498,Grand Central,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30 years ago.",NO MAN'S LAND,David Baldacci
10,11,0,0,None,Putnam,The New York lawyer Stone Barrington faces danger when he finds himself in possession of a retired C.I.A. agent’s explosive memoir.,BELOW THE BELT,Stuart Woods
11,12,0,0,031640716X,"Little, Brown","Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C.",CROSS THE LINE,James Patterson
12,13,0,0,1250105617,Flatiron,,THE DRY,Jane Harper
13,14,0,0,1429960272,Forge,A canine narrator undergoes a series of reincarnations.,A DOG'S PURPOSE,W Bruce Cameron
14,15,0,0,0385538928,Doubleday,The daughters of a Vermont woman who disappeared from her home in the middle of the night try to understand what happened.,THE SLEEPWALKER,Chris Bohjalian
