,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,4,5,0062363611,Morrow/HarperCollins,The black women mathematicians who worked at then-segregated NASA. The basis of the movie.,HIDDEN FIGURES,Margot Lee Shetterly
1,2,2,25,0062300563,HarperCollins,A Yale Law School graduate looks at the struggles of the white working class through the story of his own childhood in the Rust Belt.,HILLBILLY ELEGY,J.D. Vance
2,3,0,7,,Morrow,"A second memoir by the actress, singer and dancer; originally published in 2013.",UNSINKABLE,Debbie Reynolds and Dorian Hannaway
3,4,1,2,1455540021,Grand Central,A frightening search for a lost civilization in the Honduran rain forest.,THE LOST CITY OF THE MONKEY GOD,Douglas Preston
4,5,3,3,1439153809,Simon & Schuster,A memoir based on Fisher’s one-woman autobiographical show. Originally published in 2008.,WISHFUL DRINKING,Carrie Fisher
5,6,0,1,0062569066,Morrow/HarperCollins,Eisenhower’s farewell address and his role in the Kennedy transition.,THREE DAYS IN JANUARY,Bret Baier with Catherine Whitney
6,7,5,17,1627790632,Holt,The host of “The O’Reilly Factor” recounts the final years of World War II.,KILLING THE RISING SUN,Bill O'Reilly and Martin Dugard
7,8,6,48,0812988418,Random House,A memoir by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.,WHEN BREATH BECOMES AIR,Paul Kalanithi
8,9,8,5,0393254607,Norton,How the psychologists Daniel Kahneman and Amos Tversky upended assumptions about the decision-making process and invented the field of behavioral economics.,THE UNDOING PROJECT,Michael Lewis
9,10,7,3,None,Blue Rider,"Recollections of life on the set of the first Star Wars movie by the actress and writer, who died in December.",THE PRINCESS DIARIST,Carrie Fisher
10,11,0,0,None,Penguin,A biography of the first Treasury secretary and one of the Founding Fathers of the United States. The basis of the Tony Award-winning Broadway musical.,ALEXANDER HAMILTON,Ron Chernow
11,12,0,0,0718081536,W Publishing/Thomas Nelson,"The couple, who star in the HGTV show “Fixer Upper,” offer a look at their lives together.",THE MAGNOLIA STORY,Chip Gaines and Joanna Gaines with Mark Dagostino
12,13,0,0,0399588183,Spiegel & Grau,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,BORN A CRIME,Trevor Noah
13,14,0,0,1101886978,Ballantine,The actress describes her life in Scientology and the aftermath of her break with the church in 2013.,TROUBLEMAKER,Leah Remini and Rebecca Paley
14,15,0,0,0374715149,"Farrar, Straus & Giroux","How globalization, climate change and the accelerating pace of technology are reshaping the world.",THANK YOU FOR BEING LATE,Thomas L Friedman
