,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0374533555,"Farrar, Straus & Giroux",A winner of the Nobel in economic science discusses how we make choices in business and personal lives and when we can and cannot trust our intuitions.,"THINKING, FAST AND SLOW",Daniel Kahneman
1,2,0,0,1501111108,Scribner,A psychologist says passion and perseverance are the keys to success.,GRIT,Angela Duckworth
2,3,0,0,0544668251,Houghton Mifflin Harcourt,"Cells, elevators, smartphones, nuclear reactors and more are demystified with simply annotated blueprints. From the author of ""What If?""",THING EXPLAINER,Randall Munroe
3,4,0,0,0544703391,Houghton Mifflin Harcourt,The creator of the New York Times dialect quiz provides a guide to how words are pronounced in different parts of the country.,SPEAKING AMERICAN,Josh Katz
4,5,0,0,0316322423,"Little, Brown",The experience of the young Pakistani advocate for women’s education who was shot by the Taliban and later won the Nobel Peace Prize. Originally published in 2013.,I AM MALALA,Malala Yousafzai with Christina Lamb
5,6,0,0,1439156816,Scribner,A memoir that is a master class on the writer's craft.,ON WRITING,Stephen King
6,7,0,0,0553418815,Crown,How decisions that impact our lives are made by algorithms instead of people.,WEAPONS OF MATH DESTRUCTION,Cathy O'Neil
7,8,0,0,0544812115,Mariner/Houghton Mifflin Harcourt,A wide-ranging anthology selected by high school students.,BEST AMERICAN NONREQUIRED READING 2016,edited  Rachel Kushner
8,9,0,0,0143127535,Penguin,"A mathematician shows how his discipline helps us think about problems of politics, medicine and commerce.",HOW NOT TO BE WRONG,Jordan Ellenberg
9,10,0,0,1452125341,Chronicle,"From the blog of the same name, 64 intriguing words from a dozen languages.",OTHER-WORDLY,Yee-Lum Mak
