,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,110190416X,Crown,"The history of the SAS, Britain's secret special forces unit that sabotaged the Nazis and changed the nature of war.",ROGUE HEROES,Ben Macintyre
1,2,0,0,1426217013,National Geographic Society,"An illustrated account of the spies, code breakers and covert operations behind the battle lines.",THE SECRET HISTORY OF WORLD WAR II,Neil Kagan and Stephen G Hyslop
2,3,0,0,0143130609,Sentinel,"The story of the Culper spy ring, which aided the American cause during the Revolution.",GEORGE WASHINGTON'S SECRET SIX,Brian Kilmeade and Don Yaeger
3,4,0,0,0062259296,Harper,The increasing importance of intelligence during World War II.,THE SECRET WAR,Max Hastings
4,5,0,0,1101984732,Dutton,The canine teams who protect the President of the United States.,SECRET SERVICE DOGS,Maria Goodavage
5,6,0,0,0735220778,Viking,A memoir by the great spy novelist.,THE PIGEON TUNNEL,John le Carré
6,7,0,0,1476755744,Simon & Schuster,A successful American hedge fund manager in Russia was expelled by kleptocrats who then seized his property.,RED NOTICE,Bill Browder
7,8,0,0,0345805976,Anchor,"A Pulitzer Prize-winning journalist's biography of Adolf Tolkachev, who spied for the United States inside the Soviet Union.",THE BILLION DOLLAR SPY,David E Hoffman
8,9,0,0,0804140057,Crown,An American family's resistance in Nazi-occupied Paris.,AVENUE OF SPIES,Alex Kershaw
9,10,0,0,1592409008,NAL,The FBI's hunt for a traitor whose espionage scheme employed complex coded messages that were all the more baffling to decipher due to his dyslexia.,THE SPY WHO COULDN'T SPELL,Yudhijit Bhattacharjee
