,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0761169083,Workman,"A dense (nearly 500 pages) richly documented ultimate explorer's guide to more than 700 hidden marvels, events and curiosities around the world.",ATLAS OBSCURA,"Joshua Foer, Dylan Thuras and Ella Morton"
1,2,0,0,0307408876,Crown,"The last voyage of the Lusitania, the passenger liner sunk by a German torpedo in 1915; by the author of “The Devil in the White City.”",DEAD WAKE,Erik Larson
2,3,0,0,0062561200,Morrow/HarperCollins,A memoir by the pilot who performed the successful emergency landing of a plane with 155 passengers on the Hudson River in 2009. The basis for the movie.,SULLY,Chesley B Sullenberger III with Jeffrey Zaslow
3,4,0,0,0307476073,Vintage,"A woman’s account of the life-changing 1,100-mile solo hike she took along the Pacific Crest Trail in 1995. A 2014 movie.",WILD,Cheryl Strayed
4,5,0,0,0143109391,Penguin Press,This Pulitzer Prize-winning surfing chronicle and memoir by a New Yorker writer celebrates a lifelong obsession.,BARBARIAN DAYS,William Finnegan
5,6,0,0,0345806298,Vintage,"The life of the visionary German explorer, scientist and naturalist, Alexander von Humboldt.",THE INVENTION OF NATURE,Andrea Wulf
6,7,0,0,1476728755,Simon & Schuster,The story of the bicycle mechanics from Ohio who ushered in the age of flight.,THE WRIGHT BROTHERS,David McCullough
7,8,0,0,None,Penguin,"The sinking of the New England whaleship Essex in 1820, by a sperm whale. The basis of the movie.",IN THE HEART OF THE SEA,Nathaniel Philbrick
8,9,0,0,1451659172,Simon & Schuster,"The author and his brother travel 2,000 miles by mule and wagon from Missouri to Oregon.",THE OREGON TRAIL,Rinker Buck
9,10,0,0,0062315420,Harper,A biography of the Pacific Ocean.,PACIFIC,Simon Winchester
