,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,1617750255,Akashic,A children's book parody for tired parents. Originally published in 2011.,GO THE -- TO SLEEP,Adam Mansbach
1,2,0,0,0761187480,Workman,Advice for parents-to-be. Originally published in 1984.,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
2,3,0,0,1250075742,Flatiron,"After her husband confesses to multiple infidelities, a woman who has overcome bulimia and alcoholism struggles to grow — and so does he.",LOVE WARRIOR,Glennon Doyle Melton
3,4,0,0,1101984562,Dutton,"The sportscaster describes what it was like to forge his own career in the shadow of his beloved broadcasting father (who was also his best friend), Jack Buck.",LUCKY BASTARD,Joe Buck
4,5,0,0,1452128308,Chronicle,Dad Darth tries to coax young Luke and Leia to sleep with a bedtime story.,GOODNIGHT DARTH VADER,Jeffrey Brown
5,6,0,0,1455521159,Grand Central Life & Style,"A family guide to caring for people who have Alzheimer's disease, related dementias and memory loss.",THE 36-HOUR DAY,Nancy L Mace and Peter V Rabins
6,7,0,0,145210655X,Chronicle,"In this comic reimagining, the Dark Lord of the Sith is just like any other dad.",DARTH VADER AND SON,Jeffrey Brown
7,8,0,0,0802124739,Grove,"Overwhelmed by her father’s death, a British woman decides to raise a goshawk, a bird that is fierce and notoriously difficult to tame.",H IS FOR HAWK,Helen Macdonald
8,9,0,0,1101907061,Crown/Archetype,"Essays about life with an over-involved parent, based on the Instagram account @CrazyJewishMom.","MOTHER, CAN YOU NOT?",Kate Siegel
9,10,0,0,0062209736,Harper,Interviews with more than 70 teenagers shed light on their experience of sexuality.,GIRLS AND SEX,Peggy Orenstein
