,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,030746489X,Clarkson Potter,A collection of recipes for dishes the Barefoot Contessa makes for her husband.,COOKING FOR JEFFREY,Ina Garten
1,2,0,0,0062409956,Ecco/HarperCollins,More recipes and commentary from the globe-trotting TV personality and former chef.,APPETITES,Anthony Bourdain with Laurie Woolever
2,3,0,0,1623363586,Rodale,"More than 100 vegan recipes, including cornmeal waffles with strawberry syrup, from the creators of the popular, irreverent website.",THUG KITCHEN,the staff of Thug Kitchen
3,4,0,0,1101903910,Clarkson Potter,"The model and television personality's cooking tips and recipes for the definitely-not-diet foods she loves, like French toast casserole with salted Frosted Flakes.",CRAVINGS,Chrissy Teigen with Adeena Sussman
4,5,0,0,0544854411,Houghton Mifflin Harcourt,"Recipes for the Whole30 program of nonprocessed whole foods and no grains, dairy or sugar.",THE WHOLE30 COOKBOOK,Melissa Hartwig
5,6,0,0,0553459600,Clarkson Potter,"Recipes, including vegetarian and gluten-free, for fast meals and for slow-cookers by a blogger and a dietitian.",SKINNYTASTE FAST AND SLOW,Gina Homolka with Heather K Jones
6,7,0,0,0544609719,Houghton Mifflin Harcourt,An overview of a 30-day guide to better health and weight loss.,THE WHOLE30,Melissa Hartwig and Dallas Hartwig
7,8,0,0,1939457599,Ghost Mountain,"The doctor and talk-show host promotes an eating plan that includes improving ""gut health.""",THE LOSE YOUR BELLY DIET,Travis Stork
8,9,0,0,0393081087,Norton,Understanding the science of cooking in order to prepare better everyday dishes at home. Includes hundreds of recipes.,THE FOOD LAB,J Kenji Lopez-Alt
9,10,0,0,1101885718,Ballantine,"The chef's personal recipes, with references to the book's hardware, pantry, bar and methods sections.",ALTON BROWN:  EVERYDAYCOOK,Alton Brown
