,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0692597832,Adult Coloring Book Designs/Twiggler,"Forty-eight garden designs, animals and paisley patterns, for every skill level.",STRESS RELIEF COLORING BOOK,the Adult Coloring Book Designs staff
1,2,0,0,0756686067,DK Publishing,Over 500 ideas for imaginative construction with Lego blocks.,THE LEGO IDEAS BOOK,Daniel Lipkowitz
2,3,0,0,1338029991,Scholastic,"Heraldry, creatures, wizards, props and scenes fill pages of widely varying complexity for all ages.",HARRY POTTER COLORING BOOK,various illustrators
3,4,0,0,0786965606,Wizards of the Coast,"A reference for Dungeons & Dragons role players includes rules for character creation and advancement, backgrounds and skills, equipment and spells.",PLAYER'S HANDBOOK,Wizards RPG Team
4,5,0,0,1780671067,Laurence King,"An adult coloring book with hidden creatures, a key and index.",SECRET GARDEN,Johanna Basford
5,6,0,0,1780674880,Laurence King,"An adult coloring book with hidden objects to detect, symbols to decipher and a surprise destination.",ENCHANTED FOREST,Johanna Basford
6,7,0,0,0143108999,Penguin,"Secret shoals, reefs and shipwrecks with pirate treasure for adults to color.",LOST OCEAN,Johanna Basford
7,8,0,0,0786965614,Wizards of the Coast,A horde of classic Dungeons & Dragons creatures.,MONSTER MANUAL,Wizards RPG Team
8,9,0,0,0486803821,Dover,For dog lovers and colorists.,CREATIVE HAVEN DAZZLING DOGS COLORING BOOK,Marjorie Sarnat
9,10,0,0,0399542299,Price Stern Sloan/Penguin,"Planets, galaxies, heroes and villains, and the Doctor, the TARDIS and the time vortex; 96 pages for adult coloring.",DOCTOR WHO COLORING BOOK,"illlustrated  James Newman Gray, Lee Teng Chew and Jan Smith"
