,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,0063021420,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",BABEL,R.F. Kuang
1,2,0,1,0062858114,Morrow,U.S. Marshal Andrea Oliver goes to Longbill Beach to protect a judge and winds up investigating a cold case from 1982.,"GIRL, FORGOTTEN",Karin Slaughter
2,3,1,2,0593496477,Bantam,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester
3,4,0,1,0440001617,Ace,The 13th book in the Mercy Thompson series. The disappearance of the vampire Wulfe and others might indicate the return of the Harvester.,SOUL TAKEN,Patricia Briggs
4,5,0,1,1982128712,Atria,The 19th book in the Cork O’Connor mystery series. Cork uses his skills as a hunter to track mercenaries and confronts his own self-doubt.,FOX CREEK,William Kent Krueger
5,6,4,7,1538719843,Grand Central,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",THE 6:20 MAN,David Baldacci
6,7,2,2,198482161X,Delacorte,Parents of children who have gone missing on a dangerous peak in Montana form a search-and-rescue mission.,THE CHALLENGE,Danielle Steel
7,8,3,2,1538752018,Grand Central,"A former football star falls for a state prosecutor at the same time he must decide whether to kill his ex-wife, who is on life support, to ensnare her attacker.",OVERKILL,Sandra Brown
8,9,5,11,0316258679,"Little, Brown",The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,THE HOTEL NANTUCKET,Elin Hilderbrand
9,10,8,17,038554734X,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,LESSONS IN CHEMISTRY,Bonnie Garmus
10,11,6,4,0063252341,Morrow,A mother who witnesses her son murder a stranger finds her days are going in reverse and seeks to use that to alter events.,WRONG PLACE WRONG TIME,Gillian McAllister
11,12,11,90,0525559477,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,THE MIDNIGHT LIBRARY,Matt Haig
12,13,9,7,1982155264,Scout,"A decade after her first year at Oxford, an expectant mother looks into the mystery of her former best friend’s death.",THE IT GIRL,Ruth Ware
13,14,13,13,0385549326,Doubleday,"Three novellas: “Homecoming,” “Strawberry Moon” and “Sparring Partners.”",SPARRING PARTNERS,John Grisham
14,15,7,6,0062834851,Harper,The 22nd book in the Gabriel Allon series. Allon becomes an art forger to uncover a multibillion-dollar fraud.,PORTRAIT OF AN UNKNOWN WOMAN,Daniel Silva
