,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,141970947X,Abrams,A woman travels through time — from the 1970s to the pre-Civil War era — in this adaptation of Butler’s 1979 novel.,KINDRED,"Octavia E Butler, Damian Duffy and John Jennings"
1,2,1,12,0062574329,HarperCollins,"Dr. Trayaurus and Dan must prevent five powerful crystals from falling into the hands of their arch–nemesis, Denton.",DANTDM: TRAYAURUS AND THE ENCHANTED CRYSTAL,"Dan Middleton, Doreen Mulryan and Mike Love"
2,3,2,239,1401216676,DC Comics,This critically acclaimed story from 1988 offers a possible origin for the Joker.,BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
3,4,5,12,0763672335,Candlewick,The story of Snow White is reimagined here as a noir tale set in Manhattan during the Great Depression.,SNOW WHITE,Matt Phelan
4,5,4,15,0544750357,Houghton Mifflin Harcourt,"This collection features contributions from Chris Ware, Cece Bell and others.",THE BEST AMERICAN COMICS 2016,edited  Roz Chast and Bill Kartalopoulos
5,6,0,32,1419719025,Abrams,The Texas Revolution is the latest subject in this nonfiction series.,NATHAN HALE’S HAZARDOUS TALES: ALAMO ALL–STARS,Nathan Hale
6,7,7,7,1770462554,Drawn & Quarterly,The author travels with a team of journalists as they interview civilians and refugees from various war zones.,"ROLLING BLACKOUTS: DISPATCHES FROM TURKEY, SYRIA AND IRAQ",Sarah Glidden
7,8,0,18,1484737849,Disney-Lucasfilm,A new adaptation of the first three movies.,STAR WARS: THE ORIGINAL TRILOGY,the staff of the Lucas Film Book Group
8,9,3,3,0316259179,"Little, Brown","In the tradition of ""One Thousand and One Nights,"" this book depicts a variety of tales and myths centered on female storytellers in an imaginary world.",ONE HUNDRED NIGHTS OF HERO,Isabel Greenberg
9,10,6,29,1616559454,Dark Horse,"In this sequel to Palahniuk’s 1996 novel, Tyler Durden re-emerges to create mayhem once again.",FIGHT CLUB 2,Chuck Palahniuk and Cameron Stewart
