,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,0063221489,Broadside,An account of time spent in the Trump White House by the former president’s son-in-law and senior adviser.,BREAKING HISTORY,Jared Kushner
1,2,1,3,1982185821,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,I'M GLAD MY MOM DIED,Jennette McCurdy
2,3,4,2,0759554226,"Little, Brown",A biography of the late Princess of Wales and her sons.,"DIANA, WILLIAM, AND HARRY",James Patterson and Chris Mooney
3,4,2,3,1476748411,Simon & Schuster,"The life story of the Olympic athlete, All-American football player and Major League Baseball player Jim Thorpe.",PATH LIT BY LIGHTNING,David Maraniss
4,5,3,58,0525657746,Knopf,"The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",CRYING IN H MART,Michelle Zauner
5,6,5,18,0063037327,HarperOne,The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.,FINDING ME,Viola Davis
6,7,9,83,0593139135,Crown,The Academy Award-winning actor shares snippets from the diaries he kept over 35 years.,GREENLIGHTS,Matthew McConaughey
7,8,6,3,1501106376,Avid Reader,The author of “The Oregon Trail” recounts his adventures on a wooden flatboat and challenges the myths of American expansion.,LIFE ON THE MISSISSIPPI,Rinker Buck
8,9,10,43,1250223180,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey
9,10,7,2,1541618629,Basic,A philosopher shares his perspective on what we should do now to ensure that civilization would rebound if it collapsed.,WHAT WE OWE THE FUTURE,William MacAskill
10,11,8,34,1984878107,Viking,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,THINK AGAIN,Adam Grant
11,12,0,1,0593240375,Crown,"The late actor’s memoir gives details about his childhood in East Flatbush, struggles with addiction and work with social justice organizations.",SCENES FROM MY LIFE,Michael K. Williams with Jon Sternfeld
12,13,0,1,0593443330,Crown,The author of “Under the Tuscan Sun” shares reflections on the idea of home.,A PLACE IN THE WORLD,Frances Mayes
13,14,11,2,1637630999,Forefront,"Stories of vacation mishaps, writers’ conferences and a cancer support group.",VACUUMING IN THE NUDE,Peggy Rowe
14,15,12,11,0063215047,Broadside,"The ""Fox & Friends Weekend"" host makes his case for what he calls classical Christian education.",BATTLE FOR THE AMERICAN MIND,Pete Hegseth with David Goodwin
