,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,1627790624,Holt,The host of “The O’Reilly Factor” recounts the final years of World War II.,KILLING THE RISING SUN,Bill O'Reilly and Martin Dugard
1,2,0,0,0062300547,HarperCollins,A Yale Law School graduate looks at the struggles of America’s white working class through his own childhood in the Rust Belt.,HILLBILLY ELEGY,J.D. Vance
2,3,0,0,0062494600,Harper/HarperCollins,"The anchor of Fox News’s “The Kelly File” discusses why she left a succesful career as a lawyer, the value of hard work, the personal and professional challenges she has faced.",SETTLE FOR MORE,Megyn Kelly
3,4,0,0,0374273537,"Farrar, Straus & Giroux","How the accelerating pace of technology, globalization and climate change are reshaping the world, and what we can do about it.",THANK YOU FOR BEING LATE,Thomas L Friedman
4,5,0,0,0062645358,Morrow,An eyewitness account of Pearl Harbor by a 94-year-old veteran.,ALL THE GALLANT MEN,Donald Stratton with Ken Gire
5,6,0,0,1250132924,Thomas Dunne/St. Martin’s,The Vermont senator and former candidate for the Democratic nomination for president delivers his message of social and economic justice.,OUR REVOLUTION,Bernie Sanders
6,7,0,0,0812993543,Spiegel & Grau,"A meditation on race in America as well as a personal  story by the national correspondent of The Atlantic, framed as a letter to his teenage son.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
7,8,0,0,0670785970,Viking,The role of the white poor in American history.,WHITE TRASH,Nancy Isenberg
8,9,0,0,1595586431,New Press,A law professor takes aim at the “war on drugs” and its impact on black men. Originally published in 2010.,THE NEW JIM CROW,Michelle Alexander
9,10,0,0,081298496X,Spiegel & Grau,A law professor and MacArthur grant recipient’s memoir of his decades  of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
