,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0425285170,Random House,Essays by the star of “Gilmore Girls” (both the original and the mini-series) and “Parenthood.”,TALKING AS FAST AS I CAN,Lauren Graham
1,2,0,0,0399588175,Spiegel & Grau,"A memoir about growing up in South Africa by the comedian, now the host of “The Daily Show,” who was born into an illegal interracial relationship.",BORN A CRIME,Trevor Noah
2,3,0,0,1455565385,Grand Central,"An oral history of the show, based on extensive interviews with Jon Stewart and others.",THE DAILY SHOW (THE BOOK),Chris Smith
3,4,0,0,1501139886,Gallery Books,"Humorous personal essays by the comedian, actor and writer.",THE GIRL WITH THE LOWER BACK TATTOO,Amy Schumer
4,5,0,0,1501117203,Touchstone,Autobiographical essays by the young actress.,SCRAPPY LITTLE NOBODY,Anna Kendrick
5,6,0,0,1250116481,Holt,"The further adventures of the TV producer (""Watch What Happens: Live"" and the ""Real Housewives"" franchise) and personality.",SUPERFICIAL,Andy Cohen
6,7,0,0,1439153809,Simon & Schuster,A memoir based on Fisher’s one-woman autobiographical show. Originally published in 2008.,WISHFUL DRINKING,Carrie Fisher
7,8,0,0,1617750255,Akashic,A children's book parody for tired parents. Originally published in 2011.,GO THE -- TO SLEEP,Adam Mansbach
8,9,0,0,None,Crown Archetype,"More personal essays from the comedian and actress, the creator of ""The Mindy Project.""",WHY NOT ME?,Mindy Kaling
9,10,0,0,1250115639,Flatiron,"From Woody Allen to Warren Zevon, an alphabetical list (with anecdotes) of the celebrities Griffin has met during her years in show business.",KATHY GRIFFIN'S CELEBRITY RUN-INS,Kathy Griffin
