,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,1421589605,VIZ Media,"The adaptation of several story arcs from Nintendo’s Zelda video game series continues. In this volume, the Oracle of Seasons.","THE LEGEND OF ZELDA: LEGENDARY EDITION, VOL. 2",Akira Himekawa
1,2,1,2,1421590158,VIZ Media,Saitama sneaks into a combat tournament in order to hone his martial arts skills.,"ONE-PUNCH MAN, VOL. 10",ONE and Yusuke Murata
2,3,2,2,1626923507,Seven Seas Entertainment,"A girl is chosen to be the apprentice — and the bride — of a powerful wizard. In this volume, Chise makes a friend.","THE ANCIENT MAGUS' BRIDE, VOL. 6",Kore Yamazaki
3,4,8,80,1421580365,VIZ Media,"Ken Kaneki is attacked by a monster, but survives the encounter and becomes the first half-human, half-ghoul hybrid.","TOKYO GHOUL, VOL. 1",Sui Ishida
4,5,3,11,1421589591,VIZ Media,"The beginning of the adaptation to Nintendo’s 1998 video game, The Legend of Zelda: Ocarina of Time, is collected here.","THE LEGEND OF ZELDA: LEGENDARY EDITION, VOL. 1",Akira Himekawa
5,6,0,1,1421591332,VIZ Media,"Mika is now a full–fledged vampire, just in time to join the battle at Nagoya Airport.","SERAPH OF THE END, VOL. 11",Takaya Kagami and Yamato Yamamoto
6,7,4,4,1421580454,VIZ Media,The Commission of Counter Ghoul’s investigations bring them dangerously close to discovering Kaneki’s secret.,"TOKYO GHOUL, VOL. 10",Sui Ishida
7,8,9,71,1421585642,VIZ Media,"This series, originally a web comic, features a hero named Saitama, who can defeat any monster or villain with just one punch.","ONE-PUNCH MAN, VOL. 1",ONE and Yusuke Murata
8,9,0,12,1421539640,VIZ Media,Light Yagami discovers a supernatural notebook that allows him to kill anyone he has seen by writing their name in it.,"DEATH NOTE BLACK, VOL. 1",Tsugumi Ohba and Takeshi Obata
9,10,7,3,1632363097,Kodansha Comics,"Can the Survey Corps execute Erwin’s final gambit, reclaiming Wall Maria and the secrets of humanity’s past?","ATTACK ON TITAN, VOL. 20",Hajime Isayama
