,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0735219109,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",WHERE THE CRAWDADS SING,Delia Owens
1,2,0,0,1538752840,Grand Central,"Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia.",THE SUMMER HOUSE,James Patterson and Brendan DuBois
2,3,0,0,1984818805,Ballantine,Julia and Heath find it difficult to combine their families despite the fact that their children are all adults.,IT'S BETTER THIS WAY,Debbie Macomber
3,4,0,0,0062868942,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.,THE GUEST LIST,Lucy Foley
4,5,0,0,1538728591,Grand Central,"A doctor serving in the Navy in Afghanistan goes back to North Carolina, where two women change his life.",THE RETURN,Nicholas Sparks
5,6,0,0,153874824X,Grand Central,Windsor Horne Lockwood III might rectify cold cases connected to his family that have eluded the F.B.I. for decades.,WIN,Harlan Coben
6,7,0,0,1538703564,Grand Central,The 28th book in the Alex Cross series. An investigation of a double homicide sends Alex Cross to Alabama.,DEADLY CROSS,James Patterson
7,8,0,0,1501180835,Pocket,"After losing his family, Lt. Cmdr. James Reece targets some powerful enemies.",THE TERMINAL LIST,Jack Carr
8,9,0,0,1984818538,Dell,The 26th book in the Jack Reacher series. Reacher helps an F.B.I. agent look for her missing brother and takes on a foe named Dendoncker.,BETTER OFF DEAD,Lee Child and Andrew Child
9,10,0,0,0063112213,Morrow,The 25th book in the Kay Scarpetta series. Scarpetta investigates crime scenes in Virginia and outer space.,AUTOPSY,Patricia Cornwell
10,11,0,0,1982131128,Pocket,The 16th book in the Ali Reynolds series. Two people disappear and a man granted parole looks to clear his name.,UNFINISHED BUSINESS,J.A. Jance
11,12,0,0,1984821512,Dell,"On a September night, guests at the reopening of an exclusive Paris hotel experience love, tragedy and political intrigue.",COMPLICATIONS,Danielle Steel
12,13,0,0,1420153978,Zebra,A private investigator tracks the killer of a Colorado rancher’s estranged wife.,THE LAST GOODNIGHT,Kat Martin
13,14,0,0,0786048689,Pinnacle,Thieves and killers want to settle old scores with a 60-year-old family man who once was a town marshal.,BRANNIGAN'S LAND,William W. Johnstone and J.A. Johnstone
14,15,0,0,0593598008,Bantam,The first volume of the two-part history of the Targaryens in Westeros.,FIRE AND BLOOD,George R.R. Martin
