,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,3,0553391860,Ballantine,The journeys of the characters at the Rose Harbor Inn come to a close in this last book of the series.,SWEET TOMORROWS,Debbie Macomber
1,2,2,4,1455589918,Vision,"When bodies are found at a Hamptons estate where a series of grisly murders once occurred, a local detective and former New York City cop investigates.",THE MURDER HOUSE,James Patterson and David Ellis
2,3,3,2,1101987995,Berkley,"Lt. Eve Dallas of the N.Y.P.D. is on the case when three skaters are shot by a sniper. By Nora Roberts, writing pseudonymously.",APPRENTICE IN DEATH,J D Robb
3,4,5,6,0765388103,Forge,"From stray mutt to golden-haired puppy, a dog finds himself reincarnated over the years as he searches for his purpose in life.",A DOG'S PURPOSE,W Bruce Cameron
4,5,4,2,0451488024,Jove,"Ben Sterling returns home to Mystic Creek to settle down and start a family, but the woman of his interest is more than a little resistant. As she warms to him, her past comes back to interfere.",MULBERRY MOON,Catherine Anderson
5,6,6,3,1420140655,Zebra,The Sisterhood steps up when the legal client of a member is threatened by  ruthless politics and ambition in Washington.,CRASH AND BURN,Fern Michaels
6,7,8,3,0345541421,Ballantine,The psychologist Alex Delaware and the L.A.P.D. Lt. Milo Sturgis search for the missing son of a troubled actress.,BREAKDOWN,Jonathan Kellerman
7,8,9,21,0735212163,Riverhead,A psychological thriller set in the environs of London is full of complications and betrayals. The basis for the movie.,THE GIRL ON THE TRAIN,Paula Hawkins
8,9,0,1,1250058457,Minotaur,The covert operative Cotton Malone must thwart an agent loyal to the former Soviet Union.,THE 14TH COLONY,Steve Berry
9,10,7,3,0373789947,HQN,"Ren Colter, a wealthy rancher, protects a beautiful woman from a stalker.",WYOMING BRAVE,Diana Palmer
10,11,0,0,0062135295,Morrow,,WAR HAWK,James Rollins and Grant Blackwood
11,12,0,0,0425285391,Dell,Two New Yorkers reconstruct the history of a young woman and a love affair at the time of World War II.,PROPERTY OF A NOBLEWOMAN,Danielle Steel
12,13,0,0,1501110799,Pocket Books,"In the 11th Ali Reynolds novel, Ali and her husband work to clear her father’s name when he is accused of murdering the financial adviser who steered him wrong.",CLAWBACK,J A Jance
13,14,0,0,0062418998,Avon,"When a member of an elite paramilitary squad is ambushed and almost killed, he is ordered to stay under the radar in a small town until the unknown enemy is identified.",TROUBLEMAKER,Linda Howard
14,15,0,0,0345542975,Random House,Stephanie Plum pursues a fraternity member arrested for beating up a college dean and investigates a murder.,TRICKY TWENTY-TWO,Janet Evanovich
