,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0547577311,Clarion,,A LONG WALK TO WATER,Linda Sue Park
1,2,0,0,0061992275,HarperCollins,,THE ONE AND ONLY IVAN,Katherine Applegate.
2,3,0,0,1338053809,Scholastic,,RESTART,Gordon Korman
3,4,0,0,1416971718,Atheneum,,OUT OF MY MIND,Sharon M. Draper
4,5,0,0,0142426423,Nancy Paulsen,,FISH IN A TREE,Lynda Mullaly Hunt
5,6,0,0,1250091667,Square Fish,,CRENSHAW,Katherine Applegate
6,7,0,0,1250144051,Square Fish,,WISH,Barbara O'Connor
7,8,0,0,0147515823,Nancy Paulsen,,BROWN GIRL DREAMING,Jacqueline Woodson
8,9,0,0,0062991329,HarperCollins,,THE ONE AND ONLY BOB,Katherine Applegate.
9,10,0,0,006289594X,Greenwillow,,A WOLF CALLED WANDER,Rosanne Parry.
