,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,25,0671027344,MTV Books/Gallery Books,"What it’s like to grow up, from the perspective of a high school boy.",THE PERKS OF BEING A WALLFLOWER,Stephen Chbosky
1,2,0,27,0062213423,HarperCollins,Life as a boy band.,ONE DIRECTION: DARE TO DREAM,the members of One Direction
2,3,0,39,0062024035,Katherine Tegen/HarperCollins,A girl must prove her mettle in a faction-ridden dystopia.,DIVERGENT,Veronica Roth
3,4,0,18,0142402516,Speak,A boy falls for a bold girl.,LOOKING FOR ALASKA,John Green
4,5,0,3,0316101699,"Little, Brown",Rafe breaks every rule in the book.,"MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE",James Patterson and Chris Tebbetts
5,6,0,272,0375842209,Knopf,A girl saves books from Nazi burning.,THE BOOK THIEF,Markus Zusak
6,7,0,72,159514188X,Razorbill,"Before she commits suicide, a girl sends recordings to 13 people.",THIRTEEN REASONS WHY,Jay Asher
7,8,0,152,0316013692,"Little, Brown",A boy leaves his reservation for an all-white school.,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie.
8,9,0,9,0062024701,Balzer & Bray/HarperCollins,A girl’s brother is kidnapped by crows.,WILDWOOD,Colin Meloy
9,10,0,24,1416971718,Atheneum,A brilliant girl with cerebral palsy longs for a way to speak.,OUT OF MY MIND,Sharon M. Draper
