,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,2,18,0545540623,Scholastic,"Two sisters discover that their quiet coastal town is haunted by ghosts, but are they something to fear, or embrace?",GHOSTS,Raina Telgemeier
1,2,3,179,0545326990,Scholastic,"Callie becomes the stage manager for her middle school’s production of ""Moon Over Mississippi.""",DRAMA,Raina Telgemeier
2,3,4,240,0545132061,Scholastic,"Raina experiences braces, boy troubles and other plagues of the sixth grade.",SMILE,Raina Telgemeier
3,4,9,66,1603093001,Top Shelf Productions,Representative John Lewis describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
4,5,1,2,1631409395,IDW Publishing,This book features more than 100 short stories with the proceeds going to Equality Florida and its fund for those affected by the attack at the Pulse nightclub last year in Florida.,LOVE IS LOVE,various
5,6,0,50,0618871713,Houghton Mifflin Harcourt,"In her first memoir, the author chronicles the life and death of her father, a closeted gay man and funeral director. First published in 2006.",FUN HOME,Alison Bechdel
6,7,7,81,037571457X,Pantheon,The author’s life in Iran during and after its 1979 revolution; first published in 2003.,PERSEPOLIS,Marjane Satrapi
7,8,8,117,0545540607,Scholastic,Raina is stuck in the back seat between her younger brother and sister for a weeklong road trip in this family memoir.,SISTERS,Raina Telgemeier
8,9,5,77,0545813875,Scholastic,Four friends start a babysitting business in this all-color adaptation of the first book in the series.,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA,Ann M Martin and Raina Telgemeier
9,10,0,37,0803740166,Dial,"Astrid decides to join a summer roller derby camp before she begins junior high, but can she keep up with the older girls?",ROLLER GIRL,Victoria Jamieson
