,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,201,0143127748,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",THE BODY KEEPS THE SCORE,Bessel van der Kolk
1,2,2,124,1571313567,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,BRAIDING SWEETGRASS,Robin Wall Kimmerer
2,3,7,291,081298496X,One World,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
3,4,3,171,0399588191,One World,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”,BORN A CRIME,Trevor Noah
4,5,5,38,0060959479,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,ALL ABOUT LOVE,bell hooks
5,6,4,29,0399590528,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",EDUCATED,Tara Westover
6,7,6,6,0593296923,Penguin,"A look at arbitrary beliefs surrounding opium, caffeine and mescaline, which are derived from plants.",THIS IS YOUR MIND ON PLANTS,Michael Pollan
7,8,12,48,0316299227,Back Bay,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,TALKING TO STRANGERS,Malcolm Gladwell
8,9,13,12,0316296813,Back Bay,A look at the key players and outcomes of precision bombing during World War II.,THE BOMBER MAFIA,Malcolm Gladwell
9,10,9,356,0316017930,Back Bay,"Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",OUTLIERS,Malcolm Gladwell
10,11,11,330,0374533555,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,"THINKING, FAST AND SLOW",Daniel Kahneman
11,12,0,102,0307742482,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",KILLERS OF THE FLOWER MOON,David Grann
12,13,10,458,074324754X,Scribner,The author recalls how she and her siblings were constantly moved from one bleak place to another.,THE GLASS CASTLE,Jeannette Walls
13,14,8,374,0375725601,Vintage,A story of how an architect and a serial killer were linked by the Chicago World's Fair of 1893.,THE DEVIL IN THE WHITE CITY,Erik Larson
14,15,0,124,1250076226,Metropolitan,"The surgeon and New Yorker writer considers how doctors fail patients at the end of life, and how they can do better.",BEING MORTAL,Atul Gawande
