,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,153446588X,Simon & Schuster,"Jasper finds a crayon that helps him in school, or so it seems.",CREEPY CRAYON!,Aaron Reynolds.
1,2,1,26,0358412242,Clarion,Blue gives a friend a ride to school.,"TIME FOR SCHOOL, LITTLE BLUE TRUCK",Alice Schertle.
2,3,3,48,1368046452,Hyperion,Pigeon deals with the anxieties of going to school for the first time.,THE PIGEON HAS TO GO TO SCHOOL!,Mo Willems
3,4,2,41,1368003559,Disney-Hyperion,Penelope Rex must control her urge to eat the children in her class.,WE DON'T EAT OUR CLASSMATES!,Ryan T. Higgins
4,5,5,367,0803736800,Dial,What to serve your dragon-guests.,DRAGONS LOVE TACOS,Adam Rubin.
5,6,8,323,0385376715,Random House,A celebration of future possibilities.,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
6,7,6,15,0063045400,Harper,Cookie builds up her self-confidence.,THE SMART COOKIE,Jory John.
7,8,4,337,0399255370,Philomel,Problems arise when Duncan’s crayons revolt.,THE DAY THE CRAYONS QUIT,Drew Daywalt.
8,9,7,37,0525579648,Knopf,"A celebration of kindness, inclusivity and diversity at a school.",ALL ARE WELCOME,Alexandra Penfold and Suzanne Kaufman
9,10,9,40,0399246533,Nancy Paulsen,A group of school children embrace their differences.,THE DAY YOU BEGIN,Jacqueline Woodson.
