,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0399588175,Spiegel & Grau,"A memoir about growing up in South Africa by the comedian, now the host of “The Daily Show,” whose birth was the result of an illegal (under apartheid) relationship between a white Swiss father and a black Xhosa mother.",BORN A CRIME,Trevor Noah
1,2,0,0,0062363603,HarperCollins,"The story, based in part on interviews, of the black women mathematicians who were hired as “computers” by the precursor of NASA during World War II. The basis of the forthcoming movie.",HIDDEN FIGURES,Margot Lee Shetterly
2,3,0,0,0812993543,Spiegel & Grau,"A meditation on race in America as well as a personal story by the national correspondent of The Atlantic, framed as a letter to his teenage son. Winner of the National Book Award.",BETWEEN THE WORLD AND ME,Ta-Nehisi Coates
3,4,0,0,1595586431,New Press,A law professor takes aim at the “war on drugs” and its impact on black men.,THE NEW JIM CROW,Michelle Alexander
4,5,0,0,081298496X,Spiegel & Grau,A law professor and MacArthur grant recipient's memoir of his decades of work to free innocent people condemned to death.,JUST MERCY,Bryan Stevenson
5,6,0,0,1603093958,Top Shelf Productions,All three volumes of Representative John Lewis's memoir of the civil rights movement are collected here.,MARCH TRILOGY,John Lewis and Andrew Aydin
6,7,0,0,1603093001,Top Shelf Productions,Representative John Lewis of Georgia describes his childhood and the beginning of his involvement in the civil rights movement. The first volume of a trilogy.,MARCH: BOOK ONE,John Lewis and Andrew Aydin
7,8,0,0,1476749094,Atria / 37 INK,Humorous essays on what it is like to be awkward in a world that glorifies cool.,MISADVENTURES OF AWKWARD BLACK GIRL,Issa Rae
8,9,0,0,0143129201,Penguin,"Essays by a stand-up comic on topics like race, gender, dating and feminism.",YOU CAN'T TOUCH MY HAIR,Phoebe Robinson
9,10,0,0,1568584636,Nation,The Definitive History of Racist Ideas in America.,STAMPED FROM THE BEGINNING,Ibram X Kendi
