,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0393254593,Norton,How the psychologists Daniel Kahneman and Amos Tversky upended assumptions about the decision-making process and invented the field of behavioral economics. Their close friendship and porous collaboration style became one of the greatest partnerships in the history of science.,THE UNDOING PROJECT,Michael Lewis
1,2,0,0,080241270X,Northfield,"How to communicate love with quality time, affirmative words, gifts, acts of service, and physical touch. Originally published in 1992.",THE FIVE LOVE LANGUAGES,Gary Chapman
2,3,0,0,1400205875,Thomas Nelson,"The author examines the roots of rejection and its ability to poison relationships, including one’s relationship with God.",UNINVITED,Lysa TerKeurst
3,4,0,0,1592408419,Avery,"How the courage to be vulnerable transforms the way we live, love, parent and lead. Originally published in 2012.",DARING GREATLY,Brené Brown
4,5,0,0,None,Crown Archetype,"More personal essays from the comedian and actress, the creator and star of ""The Mindy Project.""",WHY NOT ME?,Mindy Kaling
5,6,0,0,1250075742,Flatiron,"After her husband confesses to multiple infidelities, a woman struggles to grow — and so does he.",LOVE WARRIOR,Glennon Doyle Melton
6,7,0,0,0143109251,Penguin,The comedian enlists a sociologist to help him understand today’s dating scene.,MODERN ROMANCE,Aziz Ansari with Eric Klinenberg
7,8,0,0,None,Harper Perennial/HarperCollins,"A collection of essays on race, gender, politics and ""Sweet Valley High.""",BAD FEMINIST,Roxane Gay
8,9,0,0,145556639X,Twelve,"How modern society’s loss of the sense of belonging — now achieved mostly in the military and in disasters — has led to income inequality, incivility and mental disorders like PTSD.",TRIBE,Sebastian Junger
9,10,0,0,1608464660,Haymarket,Feminist essays.,MEN EXPLAIN THINGS TO ME,Rebecca Solnit
