,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0735289867,Waterbrook,The Heisman Trophy winner writes about overcoming obstacles.,SHAKEN,Tim Tebow
1,2,0,0,0399185046,Avery,A discussion between two spiritual leaders about how to find joy in the face of suffering.,THE BOOK OF JOY,the Dalai Lama and Desmond Tutu with Douglas Abrams
2,3,0,0,0892969679,Faith Words,A strategy for reprogramming your mind so that you can reach new levels of achievement and purpose.,"THINK BETTER, LIVE BETTER",Joel Osteen
3,4,0,0,1878424319,Amber-Allen,"A guide to conduct, spiritual freedom and a life with fewer limitations, by a Mexican healer. Originally published in 2000.",THE FOUR AGREEMENTS,Don Miguel Ruiz
4,5,0,0,1400205875,Thomas Nelson,"The author examines the roots of rejection and how it can poison relationships, including one’s relationship with God.",UNINVITED,Lysa TerKeurst
5,6,0,0,0310318580,Zondervan,How to soothe an aching heart or broken spirit through Christian faith.,THE BROKEN WAY,Ann Voskamp
6,7,0,0,162998941X,Frontline,"The journey of a traveler and a spiritual teacher through a series of mysteries, which are also applied to daily challenges.",THE BOOK OF MYSTERIES,Jonathan Cahn
7,8,0,0,0310342996,Zondervan,"A woman’s path from ""burned out on busy"" to a life of grace, love, rest and play.",PRESENT OVER PERFECT,Shauna Niequist
8,9,0,0,1577314808,New World Library,A guide to personal growth and spiritual enlightenment. Originally published in 2002.,THE POWER OF NOW,Eckhart Tolle
9,10,0,0,0553447262,Crown Forum,An argument for divine providence in American history.,THE AMERICAN MIRACLE,Michael Medved
