,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,0,0062316117,Harper Perennial,,SAPIENS,Yuval Noah Harari
1,2,2,0,0143127748,Penguin,,THE BODY KEEPS THE SCORE,Bessel van der Kolk
2,3,4,0,1250076226,Picador,,BEING MORTAL,Atul Gawande
3,4,6,0,0374533555,"Farrar, Straus & Giroux",,"THINKING, FAST AND SLOW",Daniel Kahneman
4,5,0,0,1524743410,Dutton,,THE MOSQUITO,Timothy C Winegard
5,6,7,0,1400052181,Broadway,,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot
6,7,0,0,0316551309,"Little, Brown",,DOPESICK,Beth Macy
7,8,8,0,1501144324,Scribner,,WHY WE SLEEP,Matthew Walker
8,9,0,0,0525512195,Spiegel & Grau,,21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari
9,10,10,0,0307352153,Broadway,,QUIET,Susan Cain
