,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0735214484,Riverhead,,RANGE,David Epstein
1,2,0,0,1501135929,Scribner,,SHOE DOG,Phil Knight
2,3,0,0,0525533982,Blue Rider,,THE SIXTH MAN,Andre Iguodala with Carvell Wallace
3,4,0,0,0143125478,Penguin,,THE BOYS IN THE BOAT,Daniel James Brown
4,5,0,0,1538732998,Twelve,,NEVER SETTLE,Marty Smith
5,6,0,0,1250217709,Celadon,,WOLFPACK,Ab Wambach
6,7,0,0,0143109391,Penguin,,BARBARIAN DAYS,William Finnegan
7,8,0,0,1629375454,Triumph,,IF THESE WALLS COULD TALK,Jerry Remy and Nick Cafardo
8,9,0,0,0062905953,Morrow,,FOR THE GOOD OF THE GAME,Bud Selig with Phil Rogers
9,10,0,0,0316421103,"Little, Brown",,ALL THE WAY,Joe Namath with Sean Mortimer and Don Yaeger
