,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,1,69,1501110365,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,IT ENDS WITH US,Colleen Hoover
1,2,3,55,1538724731,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,VERITY,Colleen Hoover
2,3,2,74,0735219109,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",WHERE THE CRAWDADS SING,Delia Owens
3,4,0,1,0593336844,Berkley,Heartbeats quicken and neurons fire when a pair of antagonistic scientists work together on a project.,LOVE ON THE BRAIN,Ali Hazelwood
4,5,4,57,1476753180,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,UGLY LOVE,Colleen Hoover
5,6,5,41,1501110349,Atria,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,NOVEMBER 9,Colleen Hoover
6,7,6,77,1501161938,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid
7,8,7,19,1501193325,Atria,Quinn and Graham’s marriage depends on past promises.,ALL YOUR PERFECTS,Colleen Hoover
8,9,8,17,0593334833,Berkley,"While on vacation in North Carolina, a literary agent keeps running into an editor.",BOOK LOVERS,Emily Henry
9,10,10,68,1984806750,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,PEOPLE WE MEET ON VACATION,Emily Henry
10,11,11,6,1476753164,Atria,"When a college student finds out her boyfriend is cheating on her, she turns her attention to her guitar-playing neighbor.",MAYBE SOMEDAY,Colleen Hoover
11,12,12,54,125030170X,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,THE SILENT PATIENT,Alex Michaelides
12,13,9,7,1476791457,Atria,Auburn Reed falls for an artist with a troubled past.,CONFESS,Colleen Hoover
13,14,13,12,0593438531,Berkley,The love story of Percy and Sam is told over the course of six summers and one weekend.,EVERY SUMMER AFTER,Carley Fortune
14,15,0,1,0593598008,Bantam,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",FIRE AND BLOOD,George R.R. Martin
