,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0761169083,Workman,"A richly documented ultimate explorer's guide to more than 700 hidden marvels, events and curiosities around the world.",ATLAS OBSCURA,"Joshua Foer, Dylan Thuras and Ella Morton"
1,2,0,0,1250058902,St. Martin's,"More photographs, this time accompanied by interviews, from the creator of the blog and the book “Humans of New York.”",HUMANS OF NEW YORK: STORIES,Brandon Stanton
2,3,0,0,0804172714,Anchor,"An American expatriate travels around his adopted country, Britain.",THE ROAD TO LITTLE DRIBBLING,Bill Bryson
3,4,0,0,1250038820,St. Martin's,"Four hundred color photos of New Yorkers, with brief commentary. Originally published in 2013.",HUMANS OF NEW YORK,Brandon Stanton
4,5,0,0,0062561200,Morrow/HarperCollins,A memoir by the pilot who made an emergency landing on the Hudson River in 2009. Originally published as “Highest Duty” in 2009. The basis for the 2016 movie.,SULLY,Chesley B Sullenberger III with Jeffrey Zaslow
5,6,0,0,1426215649,National Geographic Society,A photographic tour of 225 global destinations.,DESTINATIONS OF A LIFETIME,the staff of National Geographic
6,7,0,0,0544703391,Houghton Mifflin Harcourt,The creator of the New York Times dialect quiz provides a guide to how words are pronounced in different parts of the country.,SPEAKING AMERICAN,Josh Katz
7,8,0,0,0307476073,Knopf,"An account of the life-changing 1,100-mile solo hike along the Pacific Crest Trail in 1995. Originally published in 2012 and a 2014 movie.",WILD,Cheryl Strayed
8,9,0,0,0399584692,NAL,"The author was lost on a train in India at age 5, then adopted by a couple in Australia; he searched for and found his birth family as an adult. Originally published in 2014 as “A Long Way Home” and the basis for the 2016 movie.",LION,Saroo Brierley
9,10,0,0,0520285956,University of California,Essays and 26 imaginative maps celebrate New York City.,NONSTOP METROPOLIS,Rebecca Solnit and Joshua Jelly-Schapiro
