,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,1,1419760866,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,LIGHTLARK,Alex Aster
1,2,1,4,1368069606,Disney,"Sally, the new Queen of Halloween Town, must save her town from a sleeping curse.",LONG LIVE THE PUMPKIN QUEEN,Shea Ernshaw
2,3,0,1,1250767105,Feiwel & Friends,"Ning, a young tea maker, must stop an evil darkness from spreading throughout the kingdom of Dàxi with her friends and allies.",A VENOM DARK AND SWEET,Judy I. Lin
3,4,2,239,1524714682,Delacorte,"For five students, a detour into detention ends in murder.",ONE OF US IS LYING,Karen M. McManus
4,5,5,21,133875193X,Scholastic,"Georgia, a British teenager, works on accepting her aro-ace identity.",LOVELESS,Alice Oseman
5,6,4,17,0593485858,Delacorte,This prequel to “We Were Liars” focuses on Cady's mother and aunts as teenagers in 1987.,FAMILY OF LIARS,E. Lockhart
6,7,6,5,None,Delacorte,"A romance between a seer and a prince blooms, but at what cost?",VIOLET MADE OF THORNS,Gina Chen
7,8,3,17,None,Wednesday,Chloe Green seeks answers about the disappearance of Shara Wheeler.,I KISSED SHARA WHEELER,Casey McQuiston
8,9,7,9,0062872664,HarperTeen,Corayne and her allies are forming an army to face Queen Erida and Taristan’s wicked forces.,BLADE BREAKER,Victoria Aveyard
9,10,8,37,1250762030,Wednesday,"After the death of her boyfriend, Sam, Julie can still reach him via cellphone.",YOU'VE REACHED SAM,Dustin Thao
