,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,0,0,0385741278,Ember,,WE WERE LIARS,E. Lockhart
1,2,0,0,0759555400,"Little, Brown",,THE INHERITANCE GAMES,Jennifer Lynn Barnes
2,3,0,0,0062457802,Quill Tree,,THEY BOTH DIE AT THE END,Adam Silvera
3,4,0,0,0375842209,Knopf,,THE BOOK THIEF,Markus Zusak
4,5,0,0,1101934743,Ember,,GIRL IN PIECES,Kathleen Glasgow
5,6,0,0,125007696X,Square Fish,,SIX OF CROWS,Leigh Bardugo
6,7,0,0,0062498541,Balzer + Bray,,THE HATE U GIVE,Angie Thomas
7,8,0,0,0593125010,Delacorte,,THE FEAR,Natasha Preston
8,9,0,0,1250756782,Square Fish,,BLADE OF SECRETS,Tricia Levenseller
9,10,0,0,0525555277,Dutton,,LAST NIGHT AT THE TELEGRAPH CLUB,Malinda Lo
