,rank,rank_last_week,weeks_on_list,primary_isbn10,publisher,description,title,author
0,1,3,75,0375842209,Knopf,,THE BOOK THIEF,Markus Zusak
1,2,1,23,0763660655,Candlewick,,A MONSTER CALLS,Patrick Ness
2,3,2,24,159514188X,Razorbill,,THIRTEEN REASONS WHY,Jay Asher
3,4,6,62,0316013692,"Little, Brown",,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie.
4,5,4,32,006231064X,HarperTeen,,RED QUEEN,Victoria Aveyard
5,6,5,16,133813437X,Scholastic,,FIVE NIGHTS AT FREDDY'S: THE SILVER EYES,Scott Cawthon and Kira Breed-Wrisley
6,7,7,18,1492618551,Sourcebooks Fire,,THE CABIN,Natasha Preston
7,8,10,2,0061726818,HarperCollins,,BEFORE I FALL,Lauren Oliver
8,9,9,19,1492600970,Sourcebooks Fire,,THE CELLAR,Natasha Preston
9,10,8,2,1484732790,Disney-Hyperion,,PASSENGER,Alexandra Bracken
